Sale_ID,Date,Brand,Product_Type,Country,Sales_Channel,Payment_Method,Price_USD,Units_Sold,Revenue_USD
65,9/1/2025,Huda Beauty,Blush,Canada,Retail Store,Card,56.76,49,2781.24
66,8/14/2025,Huda Beauty,Blush,France,Mall,Digital Wallet,13.91,19,264.29
67,2/11/2025,NARS,Mascara,UAE,Online,Card,20.91,15,313.65
68,7/28/2025,NARS,Foundation,UAE,Beauty Salon,Card,43.05,30,1291.5
69,10/27/2025,NARS,Eyeshadow,USA,Mall,Card,113.8,2,227.6
70,7/19/2025,Huda Beauty,Eyeshadow,UAE,Mall,Card,103.15,27,2785.05
71,9/6/2025,NARS,Mascara,Canada,Retail Store,Digital Wallet,8.34,22,183.48
72,10/1/2025,Maybelline,Lipstick,Germany,Retail Store,Card,8.1,26,210.6
73,4/4/2025,Dior,Eyeliner,Canada,Mall,Card,10.78,25,269.5
74,7/14/2025,Fenty Beauty,Lipstick,Canada,Online,Digital Wallet,37,27,999
75,10/4/2025,Huda Beauty,Lipstick,USA,Online,Cash,10.99,23,252.77
76,4/13/2025,MAC,Eyeliner,Saudi Arabia,Beauty Salon,Digital Wallet,101.51,40,4060.4
77,2/28/2025,Estee Lauder,Blush,France,Retail Store,Digital Wallet,69.86,14,978.04
78,11/7/2025,L'Oreal,Mascara,India,Online,Digital Wallet,115.83,46,5328.18
79,1/14/2025,NARS,Highlighter,UAE,Online,Digital Wallet,111.82,37,4137.34
80,12/20/2025,L'Oreal,Blush,UK,Online,Card,100.52,16,1608.32
81,9/30/2025,L'Oreal,Concealer,USA,Beauty Salon,Card,54.26,24,1302.24
82,2/24/2025,Estee Lauder,Mascara,Germany,Retail Store,Digital Wallet,54.86,24,1316.64
83,9/25/2025,Estee Lauder,Eyeshadow,Germany,Mall,Card,116.03,18,2088.54
84,5/6/2025,Fenty Beauty,Eyeshadow,UAE,Beauty Salon,Digital Wallet,100.53,6,603.18
85,11/9/2025,Maybelline,Eyeshadow,France,Retail Store,Card,81.84,22,1800.48
86,4/19/2025,Dior,Blush,India,Online,Digital Wallet,45.8,17,778.6
87,4/8/2025,NARS,Eyeshadow,UAE,Beauty Salon,Digital Wallet,14.85,47,697.95
88,12/31/2025,L'Oreal,Blush,UAE,Beauty Salon,Digital Wallet,61.44,2,122.88
89,5/5/2025,Dior,Eyeshadow,France,Beauty Salon,Digital Wallet,40.21,38,1527.98
90,10/9/2025,Estee Lauder,Blush,India,Mall,Cash,43.04,45,1936.8
91,3/3/2025,L'Oreal,Mascara,UAE,Retail Store,Digital Wallet,87.95,21,1846.95
92,9/5/2025,Fenty Beauty,Lipstick,UAE,Mall,Cash,36.8,38,1398.4
93,7/4/2025,MAC,Blush,USA,Online,Digital Wallet,25.64,1,25.64
94,5/30/2025,Estee Lauder,Lipstick,USA,Mall,Card,85.2,9,766.8
95,9/3/2025,Maybelline,Blush,Canada,Online,Cash,55.65,12,667.8
96,7/25/2025,Maybelline,Mascara,Saudi Arabia,Mall,Cash,61.55,37,2277.35
97,5/8/2025,NARS,Eyeliner,Germany,Beauty Salon,Card,18.62,49,912.38
98,6/2/2025,Fenty Beauty,Foundation,UK,Retail Store,Digital Wallet,103.92,28,2909.76
99,4/19/2025,MAC,Eyeliner,Saudi Arabia,Online,Cash,35.43,6,212.58
100,1/2/2025,Estee Lauder,Blush,USA,Retail Store,Card,51.98,45,2339.1
101,12/28/2025,L'Oreal,Eyeliner,India,Retail Store,Card,37.51,30,1125.3
102,2/28/2025,MAC,Blush,Saudi Arabia,Online,Cash,67.62,42,2840.04
103,3/26/2025,Fenty Beauty,Eyeshadow,UK,Beauty Salon,Digital Wallet,96.15,39,3749.85
104,6/5/2025,Estee Lauder,Eyeshadow,UK,Online,Card,85.47,18,1538.46
105,6/15/2025,L'Oreal,Eyeliner,USA,Mall,Digital Wallet,74.43,2,148.86
106,1/21/2025,Estee Lauder,Eyeshadow,India,Retail Store,Digital Wallet,92.76,12,1113.12
107,8/12/2025,L'Oreal,Eyeshadow,France,Beauty Salon,Card,78,32,2496
108,6/14/2025,Dior,Highlighter,Canada,Mall,Digital Wallet,82.07,11,902.77
109,7/25/2025,Maybelline,Eyeshadow,UK,Mall,Card,98.56,36,3548.16
110,6/15/2025,NARS,Foundation,Canada,Beauty Salon,Cash,18.33,50,916.5
111,4/7/2025,Estee Lauder,Eyeshadow,USA,Retail Store,Card,64.62,40,2584.8
112,10/9/2025,Estee Lauder,Eyeshadow,UK,Online,Digital Wallet,20.07,19,381.33
113,11/8/2025,MAC,Blush,USA,Beauty Salon,Cash,96.92,46,4458.32
114,4/26/2025,Estee Lauder,Lipstick,Saudi Arabia,Beauty Salon,Digital Wallet,119.11,8,952.88
115,5/30/2025,NARS,Eyeshadow,Canada,Retail Store,Card,63.52,18,1143.36
116,10/10/2025,MAC,Lipstick,India,Beauty Salon,Card,21.63,13,281.19
117,9/17/2025,Fenty Beauty,Blush,Canada,Retail Store,Card,35.72,1,35.72
118,10/3/2025,NARS,Eyeshadow,France,Retail Store,Digital Wallet,60.7,22,1335.4
119,5/3/2025,NARS,Foundation,France,Beauty Salon,Digital Wallet,70.76,15,1061.4
120,7/15/2025,MAC,Eyeshadow,USA,Retail Store,Digital Wallet,49.4,43,2124.2
121,10/30/2025,Estee Lauder,Lipstick,Canada,Online,Digital Wallet,43.18,7,302.26
122,3/15/2025,MAC,Lipstick,Canada,Mall,Card,52.15,42,2190.3
123,11/16/2025,L'Oreal,Concealer,Germany,Mall,Digital Wallet,84.66,42,3555.72
124,9/7/2025,L'Oreal,Eyeliner,India,Retail Store,Digital Wallet,105.32,3,315.96
125,2/16/2025,L'Oreal,Eyeshadow,Saudi Arabia,Mall,Cash,54.91,7,384.37
126,1/24/2025,Fenty Beauty,Concealer,France,Beauty Salon,Cash,42.3,4,169.2
127,5/6/2025,MAC,Mascara,Saudi Arabia,Online,Digital Wallet,66.08,37,2444.96
128,7/15/2025,Estee Lauder,Mascara,UAE,Beauty Salon,Digital Wallet,76.27,16,1220.32
129,5/11/2025,Maybelline,Eyeshadow,India,Retail Store,Cash,57.85,43,2487.55
130,8/15/2025,Fenty Beauty,Highlighter,India,Beauty Salon,Card,113.7,38,4320.6
131,4/12/2025,L'Oreal,Eyeliner,Germany,Mall,Digital Wallet,119.93,31,3717.83
132,6/1/2025,Maybelline,Highlighter,India,Online,Digital Wallet,119.16,19,2264.04
133,12/18/2025,Estee Lauder,Blush,UAE,Mall,Cash,94.51,4,378.04
134,11/22/2025,MAC,Lipstick,USA,Mall,Card,26.87,17,456.79
135,1/18/2025,MAC,Lipstick,India,Mall,Digital Wallet,71.65,47,3367.55
136,8/1/2025,Dior,Blush,Saudi Arabia,Mall,Card,25.2,9,226.8
137,6/1/2025,L'Oreal,Eyeshadow,UK,Retail Store,Cash,90.85,22,1998.7
138,12/13/2025,Dior,Lipstick,Germany,Online,Card,88.28,26,2295.28
139,10/2/2025,Fenty Beauty,Highlighter,France,Online,Digital Wallet,19.21,24,461.04
140,4/30/2025,Dior,Eyeliner,UK,Beauty Salon,Digital Wallet,59.22,40,2368.8
141,6/4/2025,MAC,Foundation,USA,Mall,Card,79.66,8,637.28
142,3/1/2025,MAC,Highlighter,Canada,Mall,Digital Wallet,16.18,35,566.3
143,12/23/2025,MAC,Highlighter,UK,Beauty Salon,Digital Wallet,113.79,27,3072.33
144,7/28/2025,Maybelline,Concealer,UAE,Beauty Salon,Card,112.99,18,2033.82
145,5/1/2025,Dior,Concealer,USA,Beauty Salon,Card,103.38,7,723.66
146,4/8/2025,L'Oreal,Eyeliner,USA,Online,Card,116.34,30,3490.2
147,5/5/2025,Huda Beauty,Lipstick,UAE,Retail Store,Cash,118.71,37,4392.27
148,6/18/2025,Maybelline,Blush,Saudi Arabia,Retail Store,Digital Wallet,94.05,39,3667.95
149,5/9/2025,Maybelline,Mascara,USA,Mall,Cash,96.83,8,774.64
150,10/29/2025,Fenty Beauty,Foundation,Saudi Arabia,Beauty Salon,Digital Wallet,42.23,12,506.76
151,2/28/2025,Estee Lauder,Concealer,UK,Beauty Salon,Digital Wallet,90.75,31,2813.25
152,4/24/2025,Fenty Beauty,Eyeshadow,USA,Online,Card,113.72,3,341.16
153,7/25/2025,Estee Lauder,Eyeshadow,UK,Online,Card,54.02,7,378.14
154,11/8/2025,Fenty Beauty,Concealer,Germany,Mall,Card,22.06,9,198.54
155,9/16/2025,L'Oreal,Eyeliner,Germany,Beauty Salon,Cash,74.62,7,522.34
156,7/31/2025,NARS,Highlighter,UK,Mall,Card,43.98,30,1319.4
157,6/10/2025,MAC,Eyeshadow,UK,Online,Cash,81.49,24,1955.76
158,2/17/2025,Dior,Mascara,USA,Mall,Digital Wallet,54.67,48,2624.16
159,3/4/2025,NARS,Foundation,India,Mall,Card,52.24,43,2246.32
160,2/23/2025,MAC,Eyeshadow,UAE,Online,Card,71.46,14,1000.44
161,10/12/2025,Fenty Beauty,Eyeliner,Germany,Online,Digital Wallet,47.27,49,2316.23
162,12/3/2025,Maybelline,Mascara,India,Mall,Card,100.39,18,1807.02
163,6/29/2025,NARS,Lipstick,Saudi Arabia,Online,Cash,5.7,10,57
164,9/29/2025,Estee Lauder,Concealer,Saudi Arabia,Mall,Card,29.74,27,802.98
165,6/16/2025,L'Oreal,Foundation,Saudi Arabia,Retail Store,Digital Wallet,94.34,37,3490.58
166,1/26/2025,Estee Lauder,Highlighter,Canada,Beauty Salon,Card,82.51,18,1485.18
167,5/20/2025,L'Oreal,Concealer,Germany,Online,Card,29.79,33,983.07
168,12/14/2025,Fenty Beauty,Foundation,UAE,Beauty Salon,Digital Wallet,83.03,32,2656.96
169,1/29/2025,Huda Beauty,Mascara,India,Mall,Card,5.88,20,117.6
170,3/3/2025,NARS,Mascara,Saudi Arabia,Beauty Salon,Digital Wallet,5.89,48,282.72
171,12/27/2025,Dior,Lipstick,Germany,Online,Card,31.46,36,1132.56
172,1/10/2025,Dior,Highlighter,Germany,Beauty Salon,Card,57.87,5,289.35
173,2/28/2025,MAC,Eyeshadow,France,Online,Card,51.58,21,1083.18
174,2/24/2025,NARS,Lipstick,Germany,Mall,Digital Wallet,32.98,38,1253.24
175,6/23/2025,MAC,Lipstick,UK,Retail Store,Card,30.48,50,1524
176,6/29/2025,MAC,Eyeliner,UK,Retail Store,Card,88.65,42,3723.3
177,4/12/2025,L'Oreal,Mascara,Canada,Beauty Salon,Digital Wallet,24.95,10,249.5
178,10/24/2025,Dior,Concealer,Saudi Arabia,Beauty Salon,Cash,56.62,37,2094.94
179,8/29/2025,Fenty Beauty,Foundation,France,Online,Card,55.85,20,1117
180,8/25/2025,Dior,Blush,UK,Online,Digital Wallet,56.97,4,227.88
181,11/1/2025,Maybelline,Eyeshadow,UAE,Mall,Digital Wallet,63.31,30,1899.3
182,9/1/2025,Estee Lauder,Lipstick,France,Online,Digital Wallet,62.66,4,250.64
183,11/27/2025,Estee Lauder,Eyeshadow,Saudi Arabia,Mall,Card,24.84,16,397.44
184,5/25/2025,Dior,Foundation,France,Online,Card,49.55,50,2477.5
185,2/18/2025,Fenty Beauty,Blush,Saudi Arabia,Mall,Cash,69.17,25,1729.25
186,10/26/2025,Fenty Beauty,Highlighter,Saudi Arabia,Online,Card,81.32,23,1870.36
187,10/14/2025,MAC,Lipstick,Germany,Mall,Cash,48.32,22,1063.04
188,7/5/2025,Dior,Eyeshadow,UAE,Retail Store,Cash,40.52,14,567.28
189,3/21/2025,Maybelline,Concealer,Saudi Arabia,Beauty Salon,Cash,13.87,7,97.09
190,3/25/2025,MAC,Eyeshadow,USA,Beauty Salon,Card,25.8,45,1161
191,12/13/2025,Fenty Beauty,Eyeshadow,UAE,Retail Store,Card,87.75,29,2544.75
192,8/29/2025,Dior,Eyeshadow,Canada,Mall,Card,108.96,13,1416.48
193,9/15/2025,Huda Beauty,Mascara,India,Online,Digital Wallet,65.66,11,722.26
194,9/4/2025,L'Oreal,Lipstick,India,Online,Cash,105.52,36,3798.72
195,5/20/2025,MAC,Highlighter,UK,Retail Store,Card,56.67,33,1870.11
196,6/28/2025,Maybelline,Highlighter,France,Retail Store,Card,112,27,3024
197,2/11/2025,Dior,Lipstick,France,Retail Store,Cash,48.11,2,96.22
198,1/20/2025,MAC,Eyeshadow,Canada,Online,Cash,37.99,31,1177.69
199,1/10/2025,NARS,Lipstick,India,Retail Store,Card,34.43,10,344.3
200,3/4/2025,Estee Lauder,Lipstick,UK,Beauty Salon,Digital Wallet,10.49,27,283.23
201,10/2/2025,Huda Beauty,Mascara,India,Beauty Salon,Cash,6.89,33,227.37
202,11/11/2025,NARS,Mascara,UK,Mall,Cash,45.57,37,1686.09
203,9/27/2025,Maybelline,Highlighter,Canada,Online,Digital Wallet,67.57,33,2229.81
204,7/18/2025,Maybelline,Concealer,UK,Mall,Cash,117.82,17,2002.94
205,12/3/2025,Dior,Mascara,USA,Mall,Digital Wallet,77.25,50,3862.5
206,6/23/2025,Estee Lauder,Eyeshadow,Saudi Arabia,Retail Store,Cash,98.55,12,1182.6
207,8/23/2025,Maybelline,Eyeliner,USA,Mall,Card,9.25,13,120.25
208,9/21/2025,Estee Lauder,Blush,USA,Retail Store,Card,50.8,35,1778
209,7/2/2025,Dior,Blush,UK,Mall,Card,104.15,4,416.6
210,7/24/2025,Dior,Mascara,Canada,Beauty Salon,Card,90.48,25,2262
211,9/23/2025,NARS,Lipstick,Germany,Retail Store,Digital Wallet,35.67,6,214.02
212,5/31/2025,Dior,Blush,India,Beauty Salon,Digital Wallet,41.94,6,251.64
213,8/7/2025,Dior,Eyeshadow,USA,Mall,Digital Wallet,24.16,29,700.64
214,8/11/2025,L'Oreal,Highlighter,France,Retail Store,Cash,36.57,4,146.28
215,3/15/2025,Estee Lauder,Foundation,Saudi Arabia,Online,Cash,102.6,44,4514.4
216,11/27/2025,Maybelline,Mascara,Canada,Mall,Card,47.13,25,1178.25
217,8/16/2025,MAC,Concealer,Germany,Mall,Digital Wallet,92.75,37,3431.75
218,5/23/2025,Maybelline,Mascara,Canada,Beauty Salon,Digital Wallet,33.71,8,269.68
219,3/2/2025,Estee Lauder,Eyeliner,India,Beauty Salon,Cash,35.1,17,596.7
220,3/4/2025,Estee Lauder,Mascara,Canada,Online,Digital Wallet,20.61,5,103.05
221,6/13/2025,L'Oreal,Blush,India,Retail Store,Digital Wallet,81.8,46,3762.8
222,12/30/2025,MAC,Concealer,UAE,Online,Cash,111.64,41,4577.24
223,3/13/2025,Maybelline,Concealer,France,Beauty Salon,Digital Wallet,32.22,32,1031.04
224,3/8/2025,L'Oreal,Blush,Germany,Beauty Salon,Digital Wallet,75.37,6,452.22
225,7/30/2025,L'Oreal,Mascara,France,Online,Card,93.45,37,3457.65
226,8/27/2025,MAC,Mascara,Saudi Arabia,Beauty Salon,Digital Wallet,83.21,23,1913.83
227,1/29/2025,MAC,Blush,Saudi Arabia,Retail Store,Card,100.61,34,3420.74
228,12/30/2025,Fenty Beauty,Lipstick,India,Retail Store,Digital Wallet,30.93,34,1051.62
229,10/10/2025,Fenty Beauty,Lipstick,Saudi Arabia,Retail Store,Cash,36.56,41,1498.96
230,12/4/2025,Dior,Foundation,USA,Online,Cash,76.82,39,2995.98
231,11/25/2025,Huda Beauty,Highlighter,USA,Beauty Salon,Digital Wallet,93.67,17,1592.39
232,10/7/2025,Estee Lauder,Eyeliner,Germany,Mall,Card,38.31,20,766.2
233,2/7/2025,Estee Lauder,Highlighter,Canada,Beauty Salon,Cash,84.19,11,926.09
234,6/24/2025,Dior,Concealer,Germany,Retail Store,Card,74.77,21,1570.17
235,9/21/2025,Huda Beauty,Eyeshadow,UK,Mall,Card,69.59,21,1461.39
236,5/7/2025,Fenty Beauty,Highlighter,Germany,Retail Store,Cash,21.2,4,84.8
237,6/17/2025,Dior,Eyeliner,Saudi Arabia,Beauty Salon,Digital Wallet,112.38,47,5281.86
238,8/28/2025,Estee Lauder,Foundation,UK,Beauty Salon,Digital Wallet,62.36,20,1247.2
239,8/23/2025,Dior,Foundation,USA,Mall,Card,116.17,14,1626.38
240,11/2/2025,Estee Lauder,Blush,USA,Online,Card,106.47,42,4471.74
241,3/10/2025,Dior,Highlighter,France,Online,Card,106.48,47,5004.56
242,1/27/2025,Dior,Blush,UK,Beauty Salon,Digital Wallet,70.58,13,917.54
243,8/19/2025,L'Oreal,Mascara,UK,Beauty Salon,Card,92.91,18,1672.38
244,6/23/2025,MAC,Eyeliner,Germany,Online,Cash,69.15,24,1659.6
245,1/20/2025,Estee Lauder,Eyeshadow,Saudi Arabia,Retail Store,Card,20.76,22,456.72
246,11/10/2025,Fenty Beauty,Concealer,Canada,Mall,Card,41.63,26,1082.38
247,1/9/2025,L'Oreal,Highlighter,India,Online,Digital Wallet,47.36,44,2083.84
248,8/31/2025,Huda Beauty,Foundation,Canada,Retail Store,Digital Wallet,35.54,42,1492.68
249,11/19/2025,NARS,Mascara,UAE,Online,Digital Wallet,87.94,50,4397
250,12/25/2025,Estee Lauder,Concealer,Germany,Retail Store,Card,17.64,2,35.28
251,12/20/2025,Estee Lauder,Foundation,Saudi Arabia,Retail Store,Digital Wallet,28.45,33,938.85
252,6/16/2025,NARS,Concealer,Saudi Arabia,Beauty Salon,Digital Wallet,119.78,31,3713.18
253,6/25/2025,Fenty Beauty,Eyeshadow,UAE,Retail Store,Card,67.82,44,2984.08
254,10/13/2025,Fenty Beauty,Eyeliner,Canada,Mall,Card,39.33,20,786.6
255,6/28/2025,Fenty Beauty,Blush,UK,Beauty Salon,Card,69.46,47,3264.62
256,6/26/2025,Fenty Beauty,Foundation,India,Online,Card,114.78,10,1147.8
257,8/15/2025,Estee Lauder,Eyeliner,UAE,Mall,Digital Wallet,80.44,48,3861.12
258,12/23/2025,Huda Beauty,Eyeliner,USA,Retail Store,Digital Wallet,36.24,7,253.68
259,4/30/2025,Dior,Eyeshadow,UK,Retail Store,Cash,11.04,27,298.08
260,10/9/2025,NARS,Eyeshadow,Canada,Retail Store,Card,117.46,11,1292.06
261,6/14/2025,L'Oreal,Eyeliner,USA,Retail Store,Card,37.82,4,151.28
262,4/1/2025,NARS,Eyeshadow,Saudi Arabia,Mall,Cash,112.4,3,337.2
263,1/5/2025,L'Oreal,Concealer,India,Beauty Salon,Digital Wallet,39.32,39,1533.48
264,10/6/2025,Estee Lauder,Blush,UAE,Online,Card,65.3,9,587.7
265,3/25/2025,Fenty Beauty,Mascara,USA,Mall,Card,89.08,42,3741.36
266,10/18/2025,MAC,Highlighter,Germany,Mall,Cash,82.56,13,1073.28
267,7/25/2025,MAC,Eyeshadow,France,Retail Store,Cash,81.96,12,983.52
268,5/14/2025,Fenty Beauty,Concealer,India,Online,Card,49.11,29,1424.19
269,12/1/2025,Maybelline,Lipstick,Canada,Mall,Cash,46.35,16,741.6
270,7/27/2025,Fenty Beauty,Lipstick,India,Mall,Digital Wallet,83.9,46,3859.4
271,4/24/2025,Estee Lauder,Mascara,Canada,Mall,Card,30.2,9,271.8
272,12/26/2025,Huda Beauty,Eyeliner,UK,Beauty Salon,Digital Wallet,68.16,31,2112.96
273,12/27/2025,L'Oreal,Foundation,UAE,Retail Store,Cash,46.61,37,1724.57
274,6/17/2025,L'Oreal,Eyeliner,Canada,Online,Digital Wallet,103.27,29,2994.83
275,8/17/2025,MAC,Highlighter,Canada,Online,Digital Wallet,98,30,2940
276,8/25/2025,Maybelline,Highlighter,India,Online,Digital Wallet,82.37,20,1647.4
277,4/22/2025,NARS,Concealer,UK,Online,Cash,71.51,3,214.53
278,8/30/2025,MAC,Mascara,Germany,Mall,Card,8.65,27,233.55
279,8/18/2025,NARS,Lipstick,Saudi Arabia,Mall,Cash,105.01,25,2625.25
280,4/2/2025,MAC,Eyeliner,USA,Online,Card,119.18,26,3098.68
281,8/26/2025,NARS,Highlighter,UAE,Retail Store,Card,82.45,35,2885.75
282,6/27/2025,L'Oreal,Foundation,Germany,Online,Cash,22.84,13,296.92
283,4/16/2025,Maybelline,Eyeshadow,USA,Retail Store,Digital Wallet,12.74,39,496.86
284,1/23/2025,Huda Beauty,Foundation,Saudi Arabia,Mall,Cash,51.26,15,768.9
285,10/22/2025,Dior,Eyeliner,India,Retail Store,Digital Wallet,41.67,39,1625.13
286,9/24/2025,Fenty Beauty,Foundation,Saudi Arabia,Beauty Salon,Digital Wallet,30.42,20,608.4
287,9/11/2025,NARS,Concealer,Germany,Beauty Salon,Cash,10.39,23,238.97
288,6/3/2025,Estee Lauder,Eyeliner,UAE,Mall,Digital Wallet,48.29,49,2366.21
289,3/15/2025,NARS,Highlighter,Saudi Arabia,Beauty Salon,Cash,97.66,4,390.64
290,5/11/2025,L'Oreal,Eyeshadow,France,Online,Digital Wallet,28.38,42,1191.96
291,4/8/2025,Maybelline,Lipstick,UAE,Retail Store,Card,10.93,25,273.25
292,4/17/2025,Fenty Beauty,Foundation,UAE,Retail Store,Digital Wallet,104.99,22,2309.78
293,3/2/2025,Estee Lauder,Eyeliner,UAE,Beauty Salon,Cash,90.89,49,4453.61
294,10/10/2025,NARS,Eyeshadow,France,Mall,Card,41.99,19,797.81
295,7/4/2025,Estee Lauder,Lipstick,Canada,Mall,Cash,63.97,32,2047.04
296,7/9/2025,Huda Beauty,Mascara,USA,Mall,Digital Wallet,40.99,3,122.97
297,10/27/2025,Fenty Beauty,Mascara,UAE,Mall,Cash,71.6,27,1933.2
298,7/14/2025,Estee Lauder,Concealer,India,Beauty Salon,Digital Wallet,70.53,16,1128.48
299,11/25/2025,MAC,Concealer,Saudi Arabia,Retail Store,Digital Wallet,90.05,30,2701.5
300,10/7/2025,Maybelline,Foundation,UK,Online,Cash,61.16,35,2140.6
301,7/31/2025,Huda Beauty,Lipstick,Saudi Arabia,Online,Cash,20.81,41,853.21
302,9/16/2025,Estee Lauder,Eyeshadow,USA,Online,Digital Wallet,57.44,4,229.76
